Country,Year,GHG Energy,GHG Fugi,GHG FC,GHG FC - Coal,GHG FC - Oil,GHG FC - Gas,CO2 MARBUNK,CO2 AVBUNK,CO2-TES,CO2-GDP,CO2-GDP PPP,CO2-POP
Ukraine,1971,1.80119325,1801.19325,,,,,,,,,,
Uzbekistan,1971,5.13791489,5137.91489,,,,,,,,,,
Former Soviet Union (if no detail),1971,,,1961.930699,891.2094845,645.2051226,422.5887107,13.31279863,67.33154974,60.355,2.124,0.764,7.985
Former Yugoslavia (if no detail),1971,,,62.60535115,36.95936148,24.13688105,1.269281666,0.0,0.648845332,67.365,0.903,0.395,3.017
Algeria,1971,40.86365183,32172.90855,8.690743282,0.384980129,5.920485572,2.383026355,0.61509066,0.292902876,59.253,0.284,0.099,0.609
Angola,1971,6.170838874,3739.991821,2.430847053,0,1.5557448,0.084804962,0.777670236,0.229600817,10.032,0.042,0.024,0.262
Benin,1971,0.5149340459,0.1051809,0.514828865,0,0.3103786,0.0,0.0,0.015891481,6.585,0.118,0.044,0.099
Botswana,1971,0.207299294,0.0,0.207299294,0,0.151253289,0.0,0.0,0.003189042,17.369,0.23,0.1,0.246
Cameroon,1971,1.562839051,0.408343,1.562430708,0,0.749360388,0.0,0.0,0.169011721,6.504,0.119,0.048,0.111
Congo,1971,0.8994651016,235.3869076,0.664078194,0,0.577480956,0.004245362,0.0,0.0,26.932,0.314,0.165,0.398
Côte d'Ivoire,1971,2.777145807,0.8711155,2.776274691,0,2.433882187,0.0,0.062229567,0.130745018,23.364,0.169,0.072,0.42
Dem. Rep. of Congo,1971,4.208489199,0.9698353,4.207519364,1.018046865,1.58556206,0.0,0.407603795,0.280147308,9.214,0.106,0.058,0.124
Egypt,1971,28.71793739,8254.225635,20.46371175,1.423454434,18.62397804,0.165213153,0.059847415,0.212093269,52.734,0.519,0.155,0.564
Equatorial Guinea,1971,,0.0,,,,,,,,,,
Eritrea,1971,,0.0,,,,,,,,,,
